title,author,category,rating,price,extraction_date
A Light in the Attic,N/A,Poetry,3,£51.77,2026-04-06 20:31:06
Tipping the Velvet,N/A,Historical Fiction,1,£53.74,2026-04-06 20:31:07
Soumission,N/A,Fiction,1,£50.10,2026-04-06 20:31:08
Sharp Objects,N/A,Mystery,4,£47.82,2026-04-06 20:31:10
Sapiens: A Brief History of Humankind,N/A,History,5,£54.23,2026-04-06 20:31:11
The Requiem Red,N/A,Young Adult,1,£22.65,2026-04-06 20:31:12
The Dirty Little Secrets of Getting Your Dream Job,N/A,Business,4,£33.34,2026-04-06 20:31:14
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",N/A,Default,3,£17.93,2026-04-06 20:31:15
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,N/A,Default,4,£22.60,2026-04-06 20:31:17
The Black Maria,N/A,Poetry,1,£52.15,2026-04-06 20:31:19
"Starving Hearts (Triangular Trade Trilogy, #1)",N/A,Default,2,£13.99,2026-04-06 20:31:20
Shakespeare's Sonnets,N/A,Poetry,4,£20.66,2026-04-06 20:31:21
Set Me Free,N/A,Young Adult,5,£17.46,2026-04-06 20:31:23
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),N/A,Sequential Art,5,£52.29,2026-04-06 20:31:24
Rip it Up and Start Again,N/A,Music,5,£35.02,2026-04-06 20:31:26
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",N/A,Music,3,£57.25,2026-04-06 20:31:27
Olio,N/A,Poetry,1,£23.88,2026-04-06 20:31:28
Mesaerion: The Best Science Fiction Stories 1800-1849,N/A,Science Fiction,1,£37.59,2026-04-06 20:31:29
Libertarianism for Beginners,N/A,Politics,2,£51.33,2026-04-06 20:31:31
It's Only the Himalayas,N/A,Travel,2,£45.17,2026-04-06 20:31:32
In Her Wake,N/A,Thriller,1,£12.84,2026-04-06 20:31:34
How Music Works,N/A,Music,2,£37.32,2026-04-06 20:31:35
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",N/A,Food and Drink,3,£30.52,2026-04-06 20:31:36
Chase Me (Paris Nights #2),N/A,Romance,5,£25.27,2026-04-06 20:31:38
Black Dust,N/A,Romance,5,£34.53,2026-04-06 20:31:39
Birdsong: A Story in Pictures,N/A,Childrens,3,£54.64,2026-04-06 20:31:41
